#txns,ours (s),plume (s)
1024,0.024992,0.915964
2048,0.02981,1.22488
4096,0.077345,1.661365
8192,0.121009,2.303883
16384,0.15508,2.855469
32768,0.319392,5.487049
65536,0.643225,9.116274
131072,1.322201,17.798481
262144,2.709964,37.016342
524288,5.466535,133.642213
1048576,10.919665,383.522931
