database,script,txns,sessions,events,keys,ours (s),plume (s),dbcop (s),ours (res),plume (res),dbcop (res)
rocksdb,rubis,59994,100,358393,56948,1.471888,53.352629,DNR,C,C,DNR
rocksdb,rubis,120550,100,715688,107642,3.394777,193.693242,DNR,C,C,DNR
rocksdb,rubis,241384,100,1426709,209418,7.996815,714.330139,DNR,C,C,DNR
rocksdb,rubis,482693,100,2849541,411494,18.933113,2188.247345,DNR,C,C,DNR
rocksdb,rubis,965723,100,5694298,816005,47.666914,6880.475392,DNR,C,C,DNR
postgres,twitter,1011,100,8556,3504,0.034828,0.987804,0.052047,C,C,C
postgres,twitter,2017,100,15402,5765,0.077783,1.583929,0.33734,C,C,C
postgres,twitter,3977,100,29193,9446,0.122789,2.223382,16.478114,C,C,C
postgres,twitter,8045,100,55002,14351,0.213395,3.081218,DNR,C,C,DNR
postgres,twitter,16035,100,106956,21971,0.38509,4.505536,DNR,C,C,DNR
postgres,twitter,32100,100,217777,34869,0.811151,7.392851,DNR,C,C,DNR
postgres,twitter,64297,100,461582,59015,1.971587,13.90229,DNR,C,C,DNR
postgres,twitter,128850,100,1002036,102134,5.004096,34.297521,DNR,C,C,DNR
postgres,twitter,257920,100,2159484,180527,12.875119,147.493913,DNR,C,C,DNR
postgres,twitter,516497,100,4545643,318296,33.637762,689.405999,DNR,C,C,DNR
postgres,twitter,1033128,100,9255091,556942,73.241614,2895.990627,DNR,C,C,DNR
cockroachdb,rubis,1006,50,8376,3183,0.035712,0.956362,0.247442,C,C,C
cockroachdb,rubis,2011,50,15807,5271,0.064959,1.374463,7.550647,C,C,C
cockroachdb,rubis,4025,50,28966,8170,0.082058,2.119283,212.387627,C,C,C
cockroachdb,rubis,8030,50,53620,12192,0.175289,3.01211,DNR,C,C,DNR
cockroachdb,rubis,16049,50,101804,18788,0.31325,4.8043,DNR,C,C,DNR
cockroachdb,rubis,32139,50,198652,31660,0.623975,6.895953,DNR,C,C,DNR
cockroachdb,rubis,64220,50,390492,57220,1.322011,17.23047,DNR,C,C,DNR
cockroachdb,rubis,128430,50,774226,108938,2.963006,38.863486,DNR,C,C,DNR
cockroachdb,rubis,257261,50,1548254,211181,6.912255,221.868285,DNR,C,C,DNR
cockroachdb,rubis,515325,50,3088292,417025,15.638687,1084.890573,DNR,C,C,DNR
cockroachdb,rubis,1029093,50,6162204,827140,37.613778,3155.62736,DNR,C,C,DNR
cockroachdb,tpcc,1690,100,63928,25747,0.21197,1.952214,0.319287,C,C,C
cockroachdb,tpcc,3006,100,112432,42027,0.352091,2.658576,6.489136,C,C,C
cockroachdb,tpcc,7287,100,236383,73464,0.68778,4.477573,578.479806,C,C,C
