txns,ours (s),plume (s),dbcop (s)
1024,0.108114,2.242805,0.679382
2048,0.208426,2.593909,23.046927
4096,0.391123,4.16043,1004.317338
8192,0.663443,6.577749,DNR
16384,0.475048,10.49809,DNR
32768,3.364415,19.107278,DNR
65536,8.372569,39.244312,DNR
131072,16.519876,97.366913,DNR
262144,39.566193,386.742879,DNR
524288,84.695147,1041.851373,DNR
1048576,206.869011,DNF,DNR
