txns,ours (s),plume (s),dbcop (s)
1024,0.016632,0.915004,0.146338
2048,0.040297,1.411313,1.164168
4096,0.063819,1.94407,128.062184
8192,0.09224,2.741909,DNR
16384,0.17993,4.62276,DNR
32768,0.469017,6.501876,DNR
65536,0.918533,12.775219,DNR
131072,2.217087,36.020117,DNR
262144,5.070598,175.238544,DNR
524288,10.952134,749.521188,DNR
1048576,23.568497,2750.010344,DNR
