txns,actual_txns,sessions,events,keys
1024,1792,100,67382,27474
2048,3221,100,113831,42266
4096,6339,100,211011,70040
8192,13657,100,415699,115297
16384,27053,100,804194,198130
32768,52930,100,1525392,336201
65536,106914,100,2972843,571853
131072,210643,100,5707765,972422
262144,427535,100,11331147,1682928
524288,851346,100,22087897,2969990
1048576,1698605,100,43431622,5351888
