database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
postgres,rubis,1003,100,8302,3181,0.013389,0.897025,C,C
postgres,rubis,1988,100,15673,5271,0.021597,1.440574,C,C
postgres,rubis,3997,100,28965,8191,0.026321,2.109035,C,C
postgres,rubis,7915,100,53293,12088,0.066193,3.107193,C,C
postgres,rubis,15869,100,101267,18657,0.089845,4.683061,C,C
postgres,rubis,31755,100,197435,31416,0.195404,7.635796,C,C
postgres,rubis,63343,100,387390,56364,0.376543,13.450905,C,C
postgres,rubis,126718,100,769316,106414,0.705687,29.931987,C,C
postgres,rubis,253885,100,1533108,208424,1.460887,81.660612,C,C
postgres,rubis,507729,100,3060257,409366,3.145548,214.254557,C,C
postgres,rubis,1015023,100,6111542,811160,6.677391,945.65696,C,C
rocksdb,twitter,988,100,8311,3490,0.012726,1.023705,C,C
rocksdb,twitter,1966,100,15049,5772,0.019669,1.334155,C,C
rocksdb,twitter,3905,100,28046,9257,0.027796,1.941193,C,C
rocksdb,twitter,7732,100,52259,14246,0.047827,3.083896,C,C
rocksdb,twitter,15350,100,99424,22096,0.104057,4.106436,C,C
rocksdb,twitter,30380,100,191761,34975,0.153916,8.847469,C,C
rocksdb,twitter,60235,100,383497,59224,0.289524,31.005718,C,C
rocksdb,twitter,120039,100,773631,102976,0.655536,146.330918,C,C
rocksdb,twitter,237157,100,1534285,179762,1.380049,606.286888,C,C
rocksdb,twitter,471728,100,3050486,317941,3.062449,1869.839436,C,C
rocksdb,twitter,938059,100,5972994,557522,7.055729,6251.596956,C,C
cockroachdb,twitter,1014,100,8677,3580,0.013441,0.927033,C,C
cockroachdb,twitter,2011,100,15796,5939,0.020605,1.340866,C,C
cockroachdb,twitter,4034,100,29573,9633,0.036609,1.899304,C,C
cockroachdb,twitter,8043,100,54526,14123,0.063534,3.099143,C,C
cockroachdb,twitter,16106,100,107399,21815,0.113003,4.608306,C,C
cockroachdb,twitter,32181,100,218122,34971,0.183903,7.834422,C,C
cockroachdb,twitter,64401,100,461205,59561,0.380295,23.181147,C,C
cockroachdb,twitter,128689,100,994922,102429,0.81366,84.221264,C,C
cockroachdb,twitter,256727,100,2120512,180197,1.915766,642.825902,C,C
cockroachdb,twitter,513190,100,4400570,318671,4.32197,3286.412374,C,C
cockroachdb,twitter,1025246,100,8939662,556197,9.176556,DNF,C,N/A
postgres,twitter,1018,50,8679,3676,0.011228,0.953514,C,C
postgres,twitter,2028,50,15680,5921,0.017453,1.379928,C,C
postgres,twitter,4051,50,29433,9571,0.03095,1.898738,C,C
postgres,twitter,8112,50,55353,14475,0.057344,2.679048,C,C
postgres,twitter,16212,50,107924,21942,0.10907,4.170959,C,C
postgres,twitter,32422,50,220249,35383,0.19632,6.517532,C,C
postgres,twitter,64938,50,466340,59429,0.357976,12.502916,C,C
postgres,twitter,129917,50,1005686,103370,0.846375,33.432953,C,C
postgres,twitter,260045,50,2172120,181461,2.051878,96.794787,C,C
postgres,twitter,520149,50,4546264,320243,4.427828,485.866783,C,C
postgres,twitter,1040886,50,9295212,560158,9.331554,1589.575111,C,C
postgres,tpcc,1792,100,67382,27474,0.059385,1.749116,C,C
postgres,tpcc,3221,100,113831,42266,0.086507,2.487455,C,C
postgres,tpcc,6339,100,211011,70040,0.119006,3.864645,C,C
postgres,tpcc,13657,100,415699,115297,0.257442,6.123915,C,C
postgres,tpcc,27053,100,804194,198130,0.523252,10.218171,C,C
postgres,tpcc,52930,100,1525392,336201,1.143643,20.598652,I,I
postgres,tpcc,106914,100,2972843,571853,2.485951,57.824394,C,C
postgres,tpcc,210643,100,5707765,972422,4.697635,135.655233,C,C
postgres,tpcc,427535,100,11331147,1682928,9.932648,640.295075,C,C
postgres,tpcc,851346,100,22087897,2969990,22.586479,1742.585146,C,C
postgres,tpcc,1698605,100,43431622,5351888,55.496761,DNF,I,N/A
rocksdb,tpcc,1684,50,70417,28980,0.059302,1.959267,C,C
rocksdb,tpcc,3298,50,131505,49802,0.100565,2.511552,C,C
rocksdb,tpcc,6975,50,252622,80782,0.166582,3.932481,C,C
rocksdb,tpcc,12500,50,439647,129604,0.263437,6.668321,C,C
rocksdb,tpcc,26522,50,878953,223330,0.523918,11.155357,C,C
rocksdb,tpcc,50249,50,1626739,378330,1.150994,23.624833,C,C
rocksdb,tpcc,100953,50,3158112,648215,2.650136,52.729141,C,C
rocksdb,tpcc,200737,50,6078822,1109997,5.974701,150.415316,C,C
rocksdb,tpcc,397846,50,11775896,1924531,11.124273,692.264021,C,C
rocksdb,tpcc,798136,50,23186820,3425154,22.314394,2134.50918,C,C
