#txns,ours (s),plume (s)
1024,0.02521,0.82173
2048,0.047091,1.098064
4096,0.07689,1.631364
8192,0.123973,2.296173
16384,0.20791,2.909572
32768,0.32661,5.550155
65536,0.686281,9.89369
131072,1.309667,20.891881
262144,2.658312,55.87997
524288,5.389564,172.407472
1048576,10.885281,645.33683
