txns,ours (s),plume (s)
1024,0.008593,0.823776
2048,0.013989,1.228134
4096,0.033145,1.663309
8192,0.060219,2.501055
16384,0.106208,4.131541
32768,0.173388,11.835504
65536,0.298784,32.533471
131072,0.522777,150.973563
262144,1.078138,396.763902
524288,2.174023,1421.285331
1048576,4.752384,4903.733882
