txns,ours (s),plume (s),dbcop (s)
1024,0.042175,0.844879,0.043562
2048,0.071776,1.383043,0.268185
4096,0.117207,1.91723,10.125248
8192,0.203383,2.887647,DNR
16384,0.337667,4.192385,DNR
32768,0.688748,8.877263,DNR
65536,1.449796,30.855746,DNR
131072,3.609523,145.970621,DNR
262144,8.214337,588.542568,DNR
524288,18.63779,1778.896358,DNR
1048576,41.519478,6189.404779,DNR
