txns,ours (s),plume (s),dbcop (s)
1024,0.21197,1.952214,0.319287
2048,0.352091,2.658576,6.489136
4096,0.68778,4.477573,578.479806
8192,1.380556,7.295547,DNR
16384,2.801943,11.160803,DNR
32768,6.01453,22.759001,DNR
65536,12.395391,50.889188,DNR
131072,26.918306,199.128876,DNR
262144,59.921191,567.414798,DNR
524288,134.917353,3031.266383,DNR
1048576,357.994907,DNF,DNR
