#txns,ours (s),plume (s)
1024,0.130843,1.793577
2048,0.186358,2.361951
4096,0.355842,3.86146
8192,0.709816,5.472991
16384,1.333518,10.538983
32768,2.763334,23.033064
65536,5.932597,51.525074
131072,12.65927,150.988125
262144,26.240247,526.784745
524288,51.652069,4965.275801
1048576,108.25291,DNF
