txns,ours (s),plume (s),dbcop (s)
1024,0.197274,1.852606,1.236163
2048,0.305128,2.502668,45.827633
4096,0.584675,3.95634,1309.56385
8192,1.16149,6.378448,DNR
16384,2.362034,11.771671,DNR
32768,5.046667,24.6304,DNR
65536,10.776652,56.864732,DNR
131072,23.526056,116.668159,DNR
262144,52.635808,553.157083,DNR
524288,117.35094,5006.348017,DNR
1048576,280.496384,DNF,DNR
