txns,ours (s),plume (s),dbcop (s)
1024,0.034828,0.987804,0.052047
2048,0.077783,1.583929,0.33734
4096,0.122789,2.223382,16.478114
8192,0.213395,3.081218,DNR
16384,0.38509,4.505536,DNR
32768,0.811151,7.392851,DNR
65536,1.971587,13.90229,DNR
131072,5.004096,34.297521,DNR
262144,12.875119,147.493913,DNR
524288,33.637762,689.405999,DNR
1048576,73.241614,2895.990627,DNR
