txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
3997,100,28965,8191,0.07689,1.631364,C,C
7915,100,53293,12088,0.123973,2.296173,C,C
15869,100,101267,18657,0.20791,2.909572,C,C
31755,100,197435,31416,0.32661,5.550155,C,C
63343,100,387390,56364,0.686281,9.89369,C,C
126718,100,769316,106414,1.309667,20.891881,C,C
253885,100,1533108,208424,2.658312,55.87997,C,C
507729,100,3060257,409366,5.389564,172.407472,C,C
1015023,100,6111542,811160,10.885281,645.33683,C,C
1684,50,70417,28980,0.118186,1.840985,C,C
3298,50,131505,49802,0.160275,2.319264,C,C
6975,50,252622,80782,0.326904,3.706471,C,C
12500,50,439647,129604,0.601427,6.318988,C,C
26522,50,878953,223330,1.278471,10.748151,C,C
50249,50,1626739,378330,2.632129,21.171492,C,C
100953,50,3158112,648215,5.513443,49.852986,C,C
200737,50,6078822,1109997,11.843041,151.126597,C,C
397846,50,11775896,1924531,23.252108,694.724982,C,C
798136,50,23186820,3425154,45.632118,1946.191539,C,C
1596227,50,45686404,6225035,98.120576,DNF,C,N/A
871,50,6863,2753,0.02228,0.856867,C,C
1793,50,13641,4888,0.038924,1.301587,C,C
3639,50,25700,7901,0.068643,1.572377,C,C
7411,50,49028,12171,0.116265,2.294632,C,C
14888,50,93354,18633,0.191769,3.493134,C,C
29823,50,181561,31313,0.318728,6.975391,C,C
59328,50,353349,57184,0.601536,16.52458,C,C
118977,50,702514,107486,1.135532,64.545055,C,C
237763,50,1399622,208794,2.374205,177.195948,C,C
475575,50,2786882,412194,4.917187,668.331986,C,C
950974,50,5572514,817564,10.09159,2154.791754,C,C
1014,100,8677,3580,0.025341,0.863499,C,C
2011,100,15796,5939,0.042663,1.237375,C,C
4034,100,29573,9633,0.074775,1.671027,C,C
8043,100,54526,14123,0.105033,2.284889,C,C
16106,100,107399,21815,0.211476,3.223832,C,C
32181,100,218122,34971,0.400479,6.712066,C,C
64401,100,461205,59561,0.802799,20.499276,C,C
128689,100,994922,102429,1.712937,86.33983,C,C
256727,100,2120512,180197,3.796829,611.40708,C,C
513190,100,4400570,318671,8.248984,3244.725389,C,C
1025246,100,8939662,556197,17.331815,DNF,C,N/A
1006,50,8463,3218,0.024992,0.915964,C,C
2023,50,15870,5350,0.02981,1.22488,C,C
4021,50,29261,8296,0.077345,1.661365,C,C
8049,50,53847,12123,0.121009,2.303883,C,C
16056,50,102479,18799,0.15508,2.855469,C,C
32179,50,198370,31716,0.319392,5.487049,C,C
64294,50,391158,57174,0.643225,9.116274,C,C
128614,50,776478,108531,1.322201,17.798481,C,C
257149,50,1545510,211002,2.709964,37.016342,C,C
514379,50,3081473,416560,5.466535,133.642213,C,C
1028690,50,6165842,825181,10.919665,383.522931,C,C
1559,50,61996,25412,0.075834,1.818095,C,C
2840,50,108815,41352,0.142516,2.466659,I,I
6717,50,237386,79043,0.2967,3.888099,C,C
13016,50,434819,125682,0.590671,5.837954,C,C
28902,50,903953,221594,1.329612,9.742069,I,I
56153,50,1707685,377477,2.734463,17.852407,C,C
111608,50,3285875,643549,5.742421,35.069774,C,C
222615,50,6356005,1102065,12.181456,87.679055,C,C
442989,50,12442735,1931844,24.603365,373.433637,C,C
886437,50,24420983,3434033,48.200441,974.876908,C,C
1777734,50,48247456,6233519,103.73989,DNF,C,N/A
1870,50,72987,28939,0.130843,1.793577,C,C
3161,50,126690,47788,0.186358,2.361951,C,C
6811,50,245401,80141,0.355842,3.86146,C,C
14590,50,488660,135338,0.709816,5.472991,C,C
28630,50,917753,228931,1.333518,10.538983,C,C
56148,50,1763153,398690,2.763334,23.033064,C,C
114125,50,3433898,678735,5.932597,51.525074,C,C
225014,50,6636934,1177961,12.65927,150.988125,C,C
450710,50,12973823,2062582,26.240247,526.784745,C,C
905587,50,25620662,3687906,51.652069,4965.275801,C,C
1812223,50,50577782,6730354,108.25291,DNF,C,N/A
