txns,ours (s),plume (s)
1024,0.100352,1.982299
2048,0.16111,2.736097
4096,0.341651,4.164703
8192,0.747056,6.714549
16384,1.347623,12.615176
32768,2.797142,24.836817
65536,6.123248,55.006127
131072,12.934815,158.718096
262144,26.322255,550.838206
524288,54.246532,5427.559463
1048576,109.209509,DNF
