txns,ours (s),plume (s)
1024,0.125936,1.950824
2048,0.178914,2.569011
4096,0.330653,3.981179
8192,0.636663,6.107591
16384,1.350399,10.154446
32768,2.772453,19.822447
65536,6.007401,37.897296
131072,12.355167,106.26838
262144,24.966274,411.888192
524288,48.955415,1016.995076
1048576,106.238465,DNF
