txns,ours (s),plume (s),dbcop (s)
1024,0.189994,1.922537,0.95724
2048,0.305879,2.65602,48.968997
4096,0.587583,4.099111,1249.170688
8192,1.060016,6.713031,DNR
16384,2.316727,11.347991,DNR
32768,4.688059,23.276365,DNR
65536,9.773045,51.241858,DNR
131072,21.414572,148.215007,DNR
262144,47.389394,683.31976,DNR
524288,102.521191,2065.089127,DNR
1048576,248.168599,DNF,DNR
