txns,ours (s),plume (s)
1024,0.027326,0.897025
2048,0.04441,1.440574
4096,0.082048,2.109035
8192,0.129797,3.107193
16384,0.186299,4.683061
32768,0.358776,7.635796
65536,0.738419,13.450905
131072,1.537838,29.931987
262144,3.228549,81.660612
524288,6.663842,214.254557
1048576,13.682781,945.65696
