txns,ours (s),plume (s),dbcop (s)
1024,0.036652,0.939173,0.083262
2048,0.063382,1.377962,1.734535
4096,0.110773,2.052543,87.87715
8192,0.176895,2.777645,DNR
16384,0.320945,4.321461,DNR
32768,0.693169,6.804675,DNR
65536,1.610733,11.763712,DNR
131072,4.109976,33.802199,DNR
262144,9.802203,97.148918,DNR
524288,23.419668,491.53106,DNR
1048576,49.192961,1550.015173,DNR
