txns,ours (s),plume (s)
1024,0.019758,0.76096
2048,0.038269,1.388182
4096,0.071957,1.95026
8192,0.124295,3.097547
16384,0.200012,5.554222
32768,0.326459,13.16437
65536,0.697132,55.221931
131072,1.355803,206.698397
262144,2.789073,758.654951
524288,5.853234,2207.034528
1048576,12.541613,DNF
