txns,actual_txns,sessions,events,keys
1024,1006,50,8463,3218
2048,2023,50,15870,5350
4096,4021,50,29261,8296
8192,8049,50,53847,12123
16384,16056,50,102479,18799
32768,32179,50,198370,31716
65536,64294,50,391158,57174
131072,128614,50,776478,108531
262144,257149,50,1545510,211002
524288,514379,50,3081473,416560
1048576,1028690,50,6165842,825181
