txns,ours (s),plume (s)
1024,0.015558,1.03739
2048,0.046238,1.310633
4096,0.082714,1.882546
8192,0.134587,2.66601
16384,0.194655,4.411502
32768,0.434161,7.86396
65536,0.866259,25.97166
131072,1.993787,117.765504
262144,4.654512,547.21552
524288,10.10973,2073.76832
1048576,21.328297,DNF
