#txns,ours (s),plume (s)
1024,0.025144,0.841277
2048,0.047908,1.123955
4096,0.077257,1.706305
8192,0.088808,2.384625
16384,0.205435,3.64095
32768,0.362929,5.891845
65536,0.677404,14.260187
131072,1.289653,34.172217
262144,2.675314,208.817962
524288,5.429273,1057.01591
1048576,11.262344,2823.500424
