txns,ours (s),plume (s)
1024,0.012726,1.023705
2048,0.019669,1.334155
4096,0.027796,1.941193
8192,0.047827,3.083896
16384,0.104057,4.106436
32768,0.153916,8.847469
65536,0.289524,31.005718
131072,0.655536,146.330918
262144,1.380049,606.286888
524288,3.062449,1869.839436
1048576,7.055729,6251.596956
