database,script,txns,sessions,events,keys,ours (s),plume (s),ours (res),plume (res)
rocksdb,rubis,871,50,6863,2753,0.021441,0.896148,C,C
rocksdb,rubis,1793,50,13641,4888,0.041751,1.429911,C,C
rocksdb,rubis,3639,50,25700,7901,0.048063,2.045832,C,C
rocksdb,rubis,7411,50,49028,12171,0.125227,3.109001,C,C
rocksdb,rubis,14888,50,93354,18633,0.203192,4.126441,C,C
rocksdb,rubis,29823,50,181561,31313,0.348905,8.169728,C,C
rocksdb,rubis,59328,50,353349,57184,0.663722,18.433989,C,C
rocksdb,rubis,118977,50,702514,107486,1.356549,67.584061,C,C
rocksdb,rubis,237763,50,1399622,208794,2.814701,199.83155,C,C
rocksdb,rubis,475575,50,2786882,412194,5.76973,681.430885,C,C
rocksdb,rubis,950974,50,5572514,817564,12.368428,2325.469879,C,C
cockroachdb,rubis,1010,100,8453,3226,0.02703,0.868763,C,C
cockroachdb,rubis,1991,100,15697,5290,0.047491,1.48067,C,C
cockroachdb,rubis,3997,100,29180,8207,0.074308,2.053634,C,C
cockroachdb,rubis,7984,100,53965,12026,0.137951,3.291199,C,C
cockroachdb,rubis,15992,100,102408,18582,0.222154,5.336933,C,C
cockroachdb,rubis,31977,100,197367,31669,0.395636,12.566366,C,C
cockroachdb,rubis,64045,100,389659,57142,0.755501,34.472782,C,C
cockroachdb,rubis,127835,100,772458,107950,1.556926,158.746651,C,C
cockroachdb,rubis,255496,100,1538116,208611,3.177329,413.066041,C,C
cockroachdb,rubis,511321,100,3071562,413300,6.537053,1481.066128,C,C
cockroachdb,rubis,1022997,100,6142190,821566,13.416672,4955.392688,C,C
postgres,tpcc,1559,50,61996,25412,0.125936,1.950824,C,C
postgres,tpcc,2840,50,108815,41352,0.178914,2.569011,I,I
postgres,tpcc,6717,50,237386,79043,0.330653,3.981179,C,C
postgres,tpcc,13016,50,434819,125682,0.636663,6.107591,C,C
postgres,tpcc,28902,50,903953,221594,1.350399,10.154446,I,N/A
postgres,tpcc,56153,50,1707685,377477,2.772453,19.822447,C,C
postgres,tpcc,111608,50,3285875,643549,6.007401,37.897296,C,C
postgres,tpcc,222615,50,6356005,1102065,12.355167,106.26838,C,C
postgres,tpcc,442989,50,12442735,1931844,24.966274,411.888192,C,C
postgres,tpcc,886437,50,24420983,3434033,48.955415,1016.995076,C,C
postgres,tpcc,1777734,50,48247456,6233519,106.238465,DNF,C,N/A
rocksdb,twitter,1000,50,8409,3550,0.025235,0.831748,C,C
rocksdb,twitter,1999,50,15846,6036,0.046158,1.324639,C,C
rocksdb,twitter,4013,50,29281,9469,0.082762,1.933751,C,C
rocksdb,twitter,7942,50,54718,14538,0.132677,2.658108,C,C
rocksdb,twitter,15856,50,103840,22034,0.183538,4.314897,C,C
rocksdb,twitter,31371,50,201261,35242,0.394058,6.778072,C,C
rocksdb,twitter,62149,50,403613,59742,0.742702,12.662355,C,C
rocksdb,twitter,122733,50,804354,103760,1.568864,37.218948,C,C
rocksdb,twitter,242459,50,1603636,181419,3.336459,185.361068,C,C
rocksdb,twitter,481027,50,3176724,319502,6.798664,760.27505,C,C
rocksdb,twitter,956588,50,6232203,559815,13.806305,2807.532081,C,C
postgres,twitter,1011,100,8556,3504,0.013521,0.914482,C,C
postgres,twitter,2017,100,15402,5765,0.043469,1.298542,C,C
postgres,twitter,3977,100,29193,9446,0.081753,1.981195,C,C
postgres,twitter,8045,100,55002,14351,0.133126,3.090491,C,C
postgres,twitter,16035,100,106956,21971,0.227233,4.584184,C,C
postgres,twitter,32100,100,217777,34869,0.451001,7.32487,C,C
postgres,twitter,64297,100,461582,59015,0.862701,13.63903,C,C
postgres,twitter,128850,100,1002036,102134,1.9838,35.328172,C,C
postgres,twitter,257920,100,2159484,180527,4.671646,146.582572,C,C
postgres,twitter,516497,100,4545643,318296,9.872948,639.14137,C,C
postgres,twitter,1033128,100,9255091,556942,20.903401,3036.460517,C,C
rocksdb,rubis,803,100,6191,2515,0.019758,0.76096,C,C
rocksdb,rubis,1694,100,12704,4696,0.038269,1.388182,C,C
rocksdb,rubis,3504,100,24903,7802,0.071957,1.95026,C,C
rocksdb,rubis,7363,100,48533,12073,0.124295,3.097547,C,C
rocksdb,rubis,14802,100,92712,18500,0.200012,5.554222,C,C
rocksdb,rubis,29913,100,182398,31366,0.326459,13.16437,C,C
rocksdb,rubis,59994,100,358393,56948,0.697132,55.221931,C,C
rocksdb,rubis,120550,100,715688,107642,1.355803,206.698397,C,C
rocksdb,rubis,241384,100,1426709,209418,2.789073,758.654951,C,C
rocksdb,rubis,482693,100,2849541,411494,5.853234,2207.034528,C,C
rocksdb,rubis,965723,100,5694298,816005,12.541613,DNF,C,N/A
cockroachdb,tpcc,1690,100,63928,25747,0.124424,1.940436,C,C
cockroachdb,tpcc,3006,100,112432,42027,0.188224,2.618871,C,C
cockroachdb,tpcc,7287,100,236383,73464,0.364574,4.367692,C,C
cockroachdb,tpcc,14263,100,454555,126130,0.640071,7.001254,C,C
cockroachdb,tpcc,27641,100,846993,211548,1.289961,11.566914,C,C
cockroachdb,tpcc,55022,100,1637972,363635,2.683378,23.002843,I,I
cockroachdb,tpcc,108552,100,3151500,622270,5.65495,49.929521,C,C
cockroachdb,tpcc,220510,100,6170109,1062722,11.747898,204.848887,C,C
cockroachdb,tpcc,438806,100,12015687,1845689,23.397241,582.597595,C,C
cockroachdb,tpcc,875087,100,23566290,3282072,47.577269,3271.816493,C,C
cockroachdb,tpcc,1752078,100,46521224,5985503,103.902398,DNF,C,N/A
cockroachdb,rubis,1006,50,8376,3183,0.02825,0.999286,C,C
cockroachdb,rubis,2011,50,15807,5271,0.026206,1.390424,C,C
cockroachdb,rubis,4025,50,28966,8170,0.08321,1.877522,C,C
cockroachdb,rubis,8030,50,53620,12192,0.098204,3.045055,C,C
cockroachdb,rubis,16049,50,101804,18788,0.225677,4.60598,C,C
cockroachdb,rubis,32139,50,198652,31660,0.363445,7.517483,C,C
cockroachdb,rubis,64220,50,390492,57220,0.776671,16.985276,C,C
cockroachdb,rubis,128430,50,774226,108938,1.521827,39.17912,C,C
cockroachdb,rubis,257261,50,1548254,211181,3.130976,232.720993,C,C
cockroachdb,rubis,515325,50,3088292,417025,6.582326,1085.855774,C,C
cockroachdb,rubis,1029093,50,6162204,827140,13.798413,3131.838601,C,C
postgres,rubis,1003,100,8302,3181,0.027326,0.897025,C,C
postgres,rubis,1988,100,15673,5271,0.04441,1.440574,C,C
postgres,rubis,3997,100,28965,8191,0.082048,2.109035,C,C
postgres,rubis,7915,100,53293,12088,0.129797,3.107193,C,C
postgres,rubis,15869,100,101267,18657,0.186299,4.683061,C,C
postgres,rubis,31755,100,197435,31416,0.358776,7.635796,C,C
postgres,rubis,63343,100,387390,56364,0.738419,13.450905,C,C
postgres,rubis,126718,100,769316,106414,1.537838,29.931987,C,C
postgres,rubis,253885,100,1533108,208424,3.228549,81.660612,C,C
postgres,rubis,507729,100,3060257,409366,6.663842,214.254557,C,C
postgres,rubis,1015023,100,6111542,811160,13.682781,945.65696,C,C
rocksdb,twitter,988,100,8311,3490,0.02722,1.023705,C,C
rocksdb,twitter,1966,100,15049,5772,0.043175,1.334155,C,C
rocksdb,twitter,3905,100,28046,9257,0.045196,1.941193,C,C
rocksdb,twitter,7732,100,52259,14246,0.125201,3.083896,C,C
rocksdb,twitter,15350,100,99424,22096,0.212218,4.106436,C,C
rocksdb,twitter,30380,100,191761,34975,0.376914,8.847469,C,C
rocksdb,twitter,60235,100,383497,59224,0.750536,31.005718,C,C
rocksdb,twitter,120039,100,773631,102976,1.470217,146.330918,C,C
rocksdb,twitter,237157,100,1534285,179762,3.215403,606.286888,C,C
rocksdb,twitter,471728,100,3050486,317941,6.668976,1869.839436,C,C
rocksdb,twitter,938059,100,5972994,557522,13.763698,6251.596956,C,C
cockroachdb,twitter,1014,100,8677,3580,0.026697,0.927033,C,C
cockroachdb,twitter,2011,100,15796,5939,0.046424,1.340866,C,C
cockroachdb,twitter,4034,100,29573,9633,0.074666,1.899304,C,C
cockroachdb,twitter,8043,100,54526,14123,0.128164,3.099143,C,C
cockroachdb,twitter,16106,100,107399,21815,0.224222,4.608306,C,C
cockroachdb,twitter,32181,100,218122,34971,0.433544,7.834422,C,C
cockroachdb,twitter,64401,100,461205,59561,0.916182,23.181147,C,C
cockroachdb,twitter,128689,100,994922,102429,1.967476,84.221264,C,C
cockroachdb,twitter,256727,100,2120512,180197,4.545526,642.825902,C,C
cockroachdb,twitter,513190,100,4400570,318671,9.928137,3286.412374,C,C
cockroachdb,twitter,1025246,100,8939662,556197,20.531604,DNF,C,N/A
postgres,twitter,1018,50,8679,3676,0.02645,0.953514,C,C
postgres,twitter,2028,50,15680,5921,0.046275,1.379928,C,C
postgres,twitter,4051,50,29433,9571,0.081903,1.898738,C,C
postgres,twitter,8112,50,55353,14475,0.135093,2.679048,C,C
postgres,twitter,16212,50,107924,21942,0.225859,4.170959,C,C
postgres,twitter,32422,50,220249,35383,0.449943,6.517532,C,C
postgres,twitter,64938,50,466340,59429,0.866032,12.502916,C,C
postgres,twitter,129917,50,1005686,103370,1.997442,33.432953,C,C
postgres,twitter,260045,50,2172120,181461,4.569216,96.794787,C,C
postgres,twitter,520149,50,4546264,320243,9.819761,485.866783,C,C
postgres,twitter,1040886,50,9295212,560158,20.610883,1589.575111,C,C
postgres,tpcc,1792,100,67382,27474,0.125541,1.749116,C,C
postgres,tpcc,3221,100,113831,42266,0.190721,2.487455,C,C
postgres,tpcc,6339,100,211011,70040,0.288671,3.864645,C,C
postgres,tpcc,13657,100,415699,115297,0.625415,6.123915,C,C
postgres,tpcc,27053,100,804194,198130,1.195018,10.218171,C,C
postgres,tpcc,52930,100,1525392,336201,2.498052,20.598652,I,I
postgres,tpcc,106914,100,2972843,571853,5.453162,57.824394,C,C
postgres,tpcc,210643,100,5707765,972422,10.39587,135.655233,C,C
postgres,tpcc,427535,100,11331147,1682928,22.254935,640.295075,C,C
postgres,tpcc,851346,100,22087897,2969990,46.628136,1742.585146,C,C
postgres,tpcc,1698605,100,43431622,5351888,100.841867,DNF,I,N/A
rocksdb,tpcc,1684,50,70417,28980,0.132662,1.959267,C,C
rocksdb,tpcc,3298,50,131505,49802,0.201735,2.511552,C,C
rocksdb,tpcc,6975,50,252622,80782,0.379681,3.932481,C,C
