txns,ours (s),plume (s)
1024,0.007956,0.854192
2048,0.017899,1.210471
4096,0.031742,1.58788
8192,0.048066,2.362956
16384,0.072566,3.036634
32768,0.177501,5.609478
65536,0.287629,10.258441
131072,0.633381,30.273341
262144,1.331269,84.324642
524288,3.195527,432.97161
1048576,6.705092,1471.846128
