txns,actual_txns,sessions,events,keys
1024,1684,50,70417,28980
2048,3298,50,131505,49802
4096,6975,50,252622,80782
8192,12500,50,439647,129604
16384,26522,50,878953,223330
32768,50249,50,1626739,378330
65536,100953,50,3158112,648215
131072,200737,50,6078822,1109997
262144,397846,50,11775896,1924531
524288,798136,50,23186820,3425154
1048576,1596227,50,45686404,6225035
