#txns,ours (s),plume (s)
1024,0.017767,0.862558
2048,0.042658,1.233796
4096,0.047366,1.718302
8192,0.077745,2.29532
16384,0.172364,3.026717
32768,0.381435,5.835237
65536,0.804094,11.398642
131072,1.713403,30.150081
262144,3.941578,132.300544
524288,8.411327,641.222406
1048576,18.004125,2981.701878
