txns,ours (s),plume (s)
1024,0.020944,0.862462
2048,0.036077,1.1946
4096,0.063026,1.580729
8192,0.081383,2.475558
16384,0.191667,4.690042
32768,0.332205,11.875521
65536,0.574059,52.590875
131072,1.205778,185.856144
262144,2.433522,729.796167
524288,5.003919,2199.570468
1048576,10.338365,DNF
