#txns,ours (s),plume (s)
1024,0.025082,0.96756
2048,0.042762,1.1973
4096,0.074713,1.745438
8192,0.119424,2.285789
16384,0.206387,3.041475
32768,0.366468,6.403484
65536,0.784455,19.833195
131072,1.695814,85.705255
262144,3.750672,DNF
