#txns,ours (s),plume (s)
1024,0.022535,0.935701
2048,0.039295,1.376847
4096,0.065652,1.897565
8192,0.127184,3.070152
16384,0.206831,5.251455
32768,0.337881,12.81692
65536,0.671686,53.38355
131072,1.360236,213.440306
262144,2.805144,DNF
