#txns,ours (s),plume (s),dbcop (s)
1024,0.175015,2.037914,0.706586
2048,0.284561,2.628672,23.137484
4096,0.584777,4.220431,DNF
8192,1.06893,6.370091,DNF
16384,1.160399,10.170289,DNR
32768,4.942759,17.822532,DNR
65536,10.440538,46.700575,DNR
131072,22.827191,123.035507,DNR
262144,50.147041,402.942117,DNR
