#txns,#actual_txns,#events,#keys
1024,1017,8634,3506
2048,2034,16044,5929
4096,4062,29111,9410
8192,8113,55227,14528
16384,16232,107794,21879
32768,32477,221284,35272
65536,64908,463516,59984
131072,130157,1004606,103341
262144,259670,2158566,181912
