#txns,ours (s),plume (s),dbcop (s)
1024,0.210535,1.69369,0.22448
2048,0.342727,2.601619,7.251729
4096,0.64195,4.119179,324.397243
8192,1.225945,6.302019,DNF
16384,2.631855,10.044414,DNR
32768,5.571652,26.077338,DNR
65536,11.514406,67.528995,DNR
131072,23.824169,237.758245,DNR
262144,53.177908,DNF,DNR
