#txns,ours (s),plume (s)
1024,0.024186,0.986254
2048,0.043646,1.21567
4096,0.075003,1.564904
8192,0.115013,2.262101
16384,0.189819,3.121756
32768,0.392367,6.710095
65536,0.802057,24.716454
131072,1.727659,116.720212
262144,3.831483,570.564231
