#txns,ours (s),plume (s),dbcop (s)
1024,0.181232,1.925732,0.302861
2048,0.36319,2.363414,6.519439
4096,0.712107,4.2202,580.216359
8192,1.380604,7.042287,DNF
16384,2.745169,10.743976,DNR
32768,6.111818,21.949509,DNR
65536,12.71488,54.27793,DNR
131072,27.246236,214.805356,DNR
262144,63.428039,DNF,DNR
