#txns,ours (s),plume (s)
1024,0.026059,0.927147
2048,0.023875,1.440376
4096,0.077741,1.919501
8192,0.091396,2.752188
16384,0.212699,3.990636
32768,0.379903,8.435939
65536,0.686117,28.995029
131072,1.476697,156.123534
262144,3.069845,DNF
