#txns,ours (s),plume (s)
1024,0.100715,1.895553
2048,0.185197,2.839703
4096,0.350185,4.11581
8192,0.594947,6.174276
16384,1.310009,9.832753
32768,2.748361,18.713275
65536,5.885409,35.538856
131072,12.573103,120.843144
262144,24.849369,411.701907
