#txns,ours (s),plume (s),dbcop (s)
1024,0.203934,2.072353,1.21009
2048,0.319408,2.431463,45.646757
4096,0.578541,4.36745,DNF
8192,1.178162,6.933022,DNF
16384,2.456817,11.771314,DNR
32768,5.076047,23.015012,DNR
65536,11.016557,62.228178,DNR
131072,23.565221,140.640522,DNR
262144,52.881179,586.009291,DNR
