#txns,#actual_txns,#events,#keys
1024,1006,8376,3183
2048,2011,15807,5271
4096,4025,28966,8170
8192,8030,53620,12192
16384,16049,101804,18788
32768,32139,198652,31660
65536,64220,390492,57220
131072,128430,774226,108938
262144,257261,1548254,211181
