#txns,ours (s),plume (s),dbcop (s)
1024,0.03681,1.010335,0.041799
2048,0.074906,1.3377,0.341625
4096,0.126635,1.943099,16.521186
8192,0.221228,2.986759,DNF
16384,0.353322,4.390704,DNR
32768,0.814488,6.864856,DNR
65536,2.043673,13.125786,DNR
131072,5.181171,37.103526,DNR
262144,13.150624,143.449381,DNR
