#txns,ours (s),plume (s)
1024,0.02041,0.954503
2048,0.035054,1.447521
4096,0.080692,2.055264
8192,0.130085,3.29265
16384,0.229338,4.952345
32768,0.396673,12.383314
65536,0.73577,33.442975
131072,1.47343,158.994112
262144,3.164628,426.502762
