#txns,ours (s),plume (s)
1024,0.116514,1.774375
2048,0.17761,2.270976
4096,0.276727,3.909153
8192,0.590222,5.262119
16384,1.18004,9.271913
32768,2.430116,17.126708
65536,5.129825,66.442416
131072,10.427455,136.755032
262144,21.528196,595.252284
