#txns,ours (s),plume (s)
1024,0.023518,1.035113
2048,0.042116,1.430826
4096,0.073005,1.855885
8192,0.118582,2.872513
16384,0.207868,4.342905
32768,0.351548,7.426933
65536,0.693812,17.954928
131072,1.324068,67.753693
262144,2.768588,207.539477
