#txns,ours (s),plume (s),dbcop (s)
1024,0.044773,0.968324,0.066172
2048,0.07639,1.487941,1.037488
4096,0.126027,1.989492,83.842064
8192,0.216111,3.427021,DNF
16384,0.372332,4.952396,DNR
32768,0.766944,12.507431,DNR
65536,1.632394,33.474924,DNR
131072,3.802638,162.805815,DNR
262144,8.958847,422.529011,DNR
