#txns,ours (s),plume (s)
1024,0.094601,1.944372
2048,0.191988,2.686496
4096,0.356853,4.091074
8192,0.62553,6.640726
16384,1.280763,11.107323
32768,2.630782,22.067025
65536,5.719562,54.666932
131072,11.967696,171.831429
262144,23.496788,DNF
