#txns,ours (s),plume (s)
1024,0.105165,1.793323
2048,0.171056,2.371272
4096,0.344541,3.631491
8192,0.614183,5.686253
16384,1.32953,9.352455
32768,2.68449,16.959407
65536,5.674638,39.346567
131072,12.134671,109.309925
262144,24.236352,362.817832
