#txns,ours (s),plume (s),dbcop (s)
1024,0.161638,1.991807,0.92449
2048,0.31621,2.612219,49.176672
4096,0.590491,4.362769,DNF
8192,1.061628,6.787243,DNF
16384,2.341577,10.983053,DNR
32768,4.771338,22.614095,DNR
65536,10.018912,49.734267,DNR
131072,21.161666,175.268021,DNR
262144,55.105861,DNF,DNR
