#txns,ours (s),plume (s)
1024,0.026347,0.976886
2048,0.046992,1.428649
4096,0.081112,1.812293
8192,0.135488,2.69239
16384,0.224459,4.155938
32768,0.400179,7.437359
65536,0.852447,25.694742
131072,1.957652,114.417163
262144,4.545477,599.442026
