#txns,ours (s),plume (s),dbcop (s),ours (res),plume (res),dbcop (res)
2048,0.059766,1.472446,0.26512,C,C,C
4096,0.116007,1.946585,16.706274,C,C,C
8192,0.211988,2.777173,DNF,C,C,N/A
16384,0.352676,4.591934,DNR,C,C,DNR
32768,0.775405,7.527128,DNR,C,C,DNR
65536,2.008872,21.183935,DNR,C,C,DNR
131072,5.226004,88.925699,DNR,C,C,DNR
262144,12.937886,DNF,DNR,C,N/A,DNR
1024,0.195144,2.199313,0.23162,C,C,C
2048,0.335322,2.512342,5.347515,C,C,C
4096,0.607501,4.199746,257.430256,C,C,C
8192,1.215762,6.223498,DNF,C,C,N/A
16384,2.62673,9.872142,DNR,C,C,DNR
32768,5.618044,18.644496,DNR,I,I,DNR
65536,12.526206,59.446725,DNR,C,C,DNR
131072,25.645705,141.084138,DNR,C,C,DNR
262144,55.246434,DNF,DNR,C,N/A,DNR
1024,0.203934,2.072353,1.21009,C,C,C
2048,0.319408,2.431463,45.646757,C,C,C
4096,0.578541,4.36745,DNF,C,C,N/A
8192,1.178162,6.933022,DNF,C,C,N/A
16384,2.456817,11.771314,DNR,C,C,DNR
32768,5.076047,23.015012,DNR,C,C,DNR
65536,11.016557,62.228178,DNR,C,C,DNR
131072,23.565221,140.640522,DNR,C,C,DNR
262144,52.881179,586.009291,DNR,C,C,DNR
1024,0.031657,1.019989,0.179972,C,C,C
2048,0.055489,1.591696,4.76746,C,C,C
4096,0.109203,2.044439,152.408708,C,C,C
8192,0.198338,2.99983,DNF,C,C,N/A
16384,0.327225,4.034395,DNR,C,C,DNR
32768,0.60064,6.220158,DNR,C,C,DNR
65536,1.315633,11.112313,DNR,C,C,DNR
131072,2.935602,23.298416,DNR,C,C,DNR
262144,6.590701,53.608921,DNR,C,C,DNR
