#txns,ours (s),plume (s)
1024,0.02714,0.924949
2048,0.042319,1.423872
4096,0.061216,1.911719
8192,0.134234,2.715217
16384,0.232323,4.139143
32768,0.399337,7.647322
65536,0.891589,22.061103
131072,1.943962,91.05705
262144,4.481059,DNF
