#txns,ours (s),plume (s)
1024,0.025621,1.023173
2048,0.045214,1.152514
4096,0.069233,1.701184
8192,0.096646,2.199385
16384,0.201623,3.251593
32768,0.354659,5.752162
65536,0.668757,10.48309
131072,1.385203,33.171317
262144,2.800132,184.218451
