#txns,ours (s),plume (s),dbcop (s)
1024,0.020169,0.837997,0.058915
2048,0.066245,1.474088,1.728938
4096,0.095051,1.760502,98.538909
8192,0.133646,2.769704,DNF
16384,0.294502,4.169371,DNR
32768,0.702761,7.475136,DNR
65536,1.60753,25.830341,DNR
131072,4.144261,115.88432,DNR
262144,9.871716,547.583041,DNR
