#txns,#actual_txns,#events,#keys
1024,871,6863,2753
2048,1793,13641,4888
4096,3639,25700,7901
8192,7411,49028,12171
16384,14888,93354,18633
32768,29823,181561,31313
65536,59328,353349,57184
131072,118977,702514,107486
262144,237763,1399622,208794
